n_estimators,learning_rate,accuracy,precision,recall,f1_score,roc_auc_score
10,2,0.19834710743801653,0.2112676056338028,0.26785714285714285,0.23622047244094488,0.20315934065934063
20,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.005,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.01,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.02,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.03,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.04,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
20,0.05,0.8264462809917356,0.8301886792452831,0.7857142857142857,0.8073394495412844,0.8236263736263737
20,0.075,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
20,0.1,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
20,0.2,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
20,0.3,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
20,0.4,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
20,0.5,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
20,0.6,0.9090909090909091,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9092032967032966
20,0.7,0.8760330578512396,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.873489010989011
20,0.8,0.8925619834710744,0.9056603773584906,0.8571428571428571,0.8807339449541285,0.8901098901098902
20,0.9,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
20,1,0.859504132231405,0.8421052631578947,0.8571428571428571,0.8495575221238938,0.8593406593406594
20,1.25,0.8181818181818182,0.8148148148148148,0.7857142857142857,0.7999999999999999,0.8159340659340659
20,1.5,0.859504132231405,0.8545454545454545,0.8392857142857143,0.8468468468468467,0.8581043956043957
20,1.75,0.8099173553719008,0.7704918032786885,0.8392857142857143,0.8034188034188035,0.8119505494505495
20,2,0.19834710743801653,0.2112676056338028,0.26785714285714285,0.23622047244094488,0.20315934065934063
30,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.005,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.01,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.02,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
30,0.03,0.8181818181818182,0.8269230769230769,0.7678571428571429,0.7962962962962962,0.8146978021978023
30,0.04,0.8429752066115702,0.8363636363636363,0.8214285714285714,0.8288288288288289,0.8414835164835165
30,0.05,0.8347107438016529,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8313186813186813
30,0.075,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
30,0.1,0.8677685950413223,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8670329670329671
30,0.2,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
30,0.3,0.8842975206611571,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.8824175824175824
30,0.4,0.8760330578512396,0.8727272727272727,0.8571428571428571,0.8648648648648648,0.8747252747252747
30,0.5,0.9008264462809917,0.8793103448275862,0.9107142857142857,0.8947368421052632,0.9015109890109889
30,0.6,0.9090909090909091,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9092032967032966
30,0.7,0.8925619834710744,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.8925824175824175
30,0.8,0.9090909090909091,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9092032967032966
30,0.9,0.8677685950413223,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8670329670329671
30,1,0.8512396694214877,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8516483516483516
30,1.25,0.8429752066115702,0.8135593220338984,0.8571428571428571,0.8347826086956522,0.8439560439560438
30,1.5,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
30,1.75,0.8677685950413223,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.8695054945054944
30,2,0.19008264462809918,0.2,0.25,0.22222222222222224,0.1942307692307692
40,0.001,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
40,0.002,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
40,0.003,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
40,0.004,0.8016528925619835,0.82,0.7321428571428571,0.7735849056603773,0.7968406593406594
